関東,山梨,TOHOシネマズ甲府,9,15,5,8,13,12,14,/voting-status/cinema/#N9C6B006CA650
中部,新潟,イオンシネマ新潟亀田,12,14,12,16,14,14,4,/voting-status/cinema/#N9C6B006CB636
中部,長野,長野グランドシネマ,15,14,10,12,13,13,10,/voting-status/cinema/#N9C6B0069788B
中部,富山,TOHOシネマズファボーレ富山,12,21,9,13,14,8,13,/voting-status/cinema/#N9C6B006CB365
中部,愛知,ミッドランドスクエアシネマ,5,2,3,1,2,70,4,/voting-status/cinema/#N9C6B006CA689
中部,愛知,イオンシネマワンダー,8,25,12,15,13,9,13,/voting-status/cinema/#N9C6B006CA9CB
中部,愛知,109シネマズ名古屋,11,17,8,13,14,19,13,/voting-status/cinema/#N9C6B006CAA2E
中部,愛知,イオンシネマ大高,15,9,19,10,12,9,5,/voting-status/cinema/#N9C6B006CB5A5
中部,愛知,TOHOシネマズ東浦,13,21,14,7,14,15,13,/voting-status/cinema/#N9C6B006CB09D
中部,愛知,TOHOシネマズ赤池,3,22,9,17,15,12,17,/voting-status/cinema/#N9C6B006CB43A
中部,岐阜,TOHOシネマズモレラ岐阜,10,21,6,10,19,13,14,/voting-status/cinema/#N9C6B006CB3D6
中部,静岡,シネシティザート,10,18,13,18,18,13,10,/voting-status/cinema/#N9C6B006CA803
中部,静岡,TOHOシネマズららぽーと磐田,12,18,11,15,14,13,9,/voting-status/cinema/#N9C6B006CB5A8
近畿,大阪,TOHOシネマズ梅田,6,15,5,3,41,7,12,/voting-status/cinema/#N9C6B006CA68C
近畿,大阪,TOHOシネマズなんば　本館,1,8,3,1,62,7,9,/voting-status/cinema/#N9C6B006CB596
近畿,大阪,あべのアポロシネマ,4,11,5,42,16,3,6,/voting-status/cinema/#N9C6B006CB429
近畿,大阪,TOHOシネマズ門真,10,17,26,7,9,11,10,/voting-status/cinema/#N9C6B006CB62A
近畿,大阪,MOVIX八尾,16,15,7,8,8,7,8,/voting-status/cinema/#N9C6B006CB1BB
近畿,大阪,TOHOシネマズセブンパーク天美,17,18,6,4,10,30,8,/voting-status/cinema/#N9C6B006CA9F9
近畿,大阪,TOHOシネマズ鳳,12,28,11,5,16,7,15,/voting-status/cinema/#N9C6B006CB43B
近畿,兵庫,OSシネマズ　ミント神戸,14,15,11,8,11,17,10,/voting-status/cinema/#N9C6B006CB2C7
近畿,兵庫,OSシネマズ  神戸ハーバーランド,7,17,9,12,9,8,17,/voting-status/cinema/#N9C6B006CA80D
近畿,兵庫,TOHOシネマズ西宮OS,12,19,8,8,10,12,10,/voting-status/cinema/#N9C6B006CA886
近畿,京都,TOHOシネマズ二条,6,9,12,12,22,10,16,/voting-status/cinema/#N9C6B006CB449
近畿,京都,Ｔ・ジョイ京都,9,22,19,15,12,17,12,/voting-status/cinema/#N9C6B006CB59D
近畿,奈良,TOHOシネマズ橿原,10,19,9,8,14,12,10,/voting-status/cinema/#N9C6B006CA9E8
中国四国,岡山,イオンシネマ岡山,11,15,9,15,17,17,6,/voting-status/cinema/#N9C6B006CB5B0
中国四国,広島,広島バルト11,13,16,13,12,18,15,11,/voting-status/cinema/#N9C6B006981C1
中国四国,愛媛,シネマサンシャインエミフルMASAKI,13,18,13,15,10,13,14,/voting-status/cinema/#N9C6B006CB63F
中国四国,高知,TOHOシネマズ高知,10,18,13,14,15,13,7,/voting-status/cinema/#N9C6B006CA9C3
九州・沖縄,福岡,TOHOシネマズららぽーと福岡,9,16,11,16,16,9,6,/voting-status/cinema/#N9C6B006CB627
九州・沖縄,福岡,Ｔ・ジョイ博多,10,17,10,21,18,17,9,/voting-status/cinema/#N9C6B006CA89C
九州・沖縄,福岡,Ｔ・ジョイリバーウォーク北九州,10,16,10,11,17,16,14,/voting-status/cinema/#N9C6B006CA9EE
九州・沖縄,熊本,TOHOシネマズ熊本サクラマチ,16,24,9,11,19,13,14,/voting-status/cinema/#N9C6B006CA4CB
九州・沖縄,沖縄,シネマQ,10,16,7,15,12,9,7,/voting-status/cinema/#N9C6B006CAD31
